2025-05-20 18:05:47,891 - __main__ - INFO - Starting detailed monitoring with interval 5s
2025-05-20 18:12:37,392 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:42,470 - __main__ - INFO - CPU: 16.6%, Memory: 59.4% (Available: 5.57 GB)
2025-05-20 18:12:42,471 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:47,538 - __main__ - INFO - CPU: 21.8%, Memory: 60.0% (Available: 5.49 GB)
2025-05-20 18:12:47,538 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:52,615 - __main__ - INFO - CPU: 19.4%, Memory: 59.8% (Available: 5.51 GB)
2025-05-20 18:12:52,618 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:12:57,691 - __main__ - INFO - CPU: 15.3%, Memory: 59.8% (Available: 5.52 GB)
2025-05-20 18:12:57,691 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:02,765 - __main__ - INFO - CPU: 34.3%, Memory: 60.7% (Available: 5.39 GB)
2025-05-20 18:13:02,766 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:07,852 - __main__ - INFO - CPU: 25.0%, Memory: 60.9% (Available: 5.36 GB)
2025-05-20 18:13:07,852 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:12,917 - __main__ - INFO - CPU: 18.9%, Memory: 60.9% (Available: 5.36 GB)
2025-05-20 18:13:12,918 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:18,017 - __main__ - INFO - CPU: 19.3%, Memory: 60.8% (Available: 5.37 GB)
2025-05-20 18:13:18,017 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:23,095 - __main__ - INFO - CPU: 21.9%, Memory: 61.1% (Available: 5.33 GB)
2025-05-20 18:13:23,096 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:28,193 - __main__ - INFO - CPU: 16.9%, Memory: 61.1% (Available: 5.33 GB)
2025-05-20 18:13:28,194 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
